Asset,Cost Level,MC Filter,IS Pool (n),MC+IS Pool (n),IS OOS PF>1 %,MC+IS OOS PF>1 %,Lift (pp)
WTI,Fee+100% (2x fee),MC-MDD p50,474114,241208,35.51,35.71,0.2
WTI,Fee+100% (2x fee),MC-Calmar p50,474114,241978,35.51,35.73,0.22
WTI,Fee+100% (2x fee),MC-Ulcer p50,474114,241533,35.51,35.75,0.24
WTI,Fee+100% (2x fee),MC-ROI* p50 (art.),474114,121461,35.51,35.44,-0.07
WTI,Slip+200% (3x slip),MC-MDD p50,584731,298388,43.76,43.98,0.22
WTI,Slip+200% (3x slip),MC-Calmar p50,584731,299181,43.76,43.99,0.23
WTI,Slip+200% (3x slip),MC-Ulcer p50,584731,298506,43.76,44.01,0.25
WTI,Slip+200% (3x slip),MC-ROI* p50 (art.),584731,166445,43.76,43.58,-0.18
WTI,Entry+Indicator drift,MC-MDD p50,574807,293695,43.21,43.3,0.09
WTI,Entry+Indicator drift,MC-Calmar p50,574807,291871,43.21,43.39,0.18
WTI,Entry+Indicator drift,MC-Ulcer p50,574807,293682,43.21,43.31,0.1
WTI,Entry+Indicator drift,MC-ROI* p50 (art.),574807,164443,43.21,43.06,-0.15
