Asset,Filter,N,Median OOS PF,Mean OOS PF,% OOS PF>1,Median OOS Sharpe
USD/JPY,Ulcer < p50,425100,0.4494,20.1242,9.38,-0.2352
USD/JPY,ROI* all,809992,0.4423,19.7341,9.21,-0.2404
USD/JPY,ROI* ≥ p50,181672,0.4496,22.5694,10.44,-0.2334
USD/JPY,ROI* ≥ p75,74442,0.4496,22.4664,10.76,-0.2313
USD/JPY,ROI* ≥ p90,25748,0.4539,21.7864,11.14,-0.2292
USD/JPY,ROI* < p50,628320,0.4388,18.9143,8.86,-0.2425
EUR/GBP,MDD all,818656,0.699,46.3588,26.55,-0.1044
EUR/GBP,MDD ≥ p50,368361,0.6922,43.0288,25.61,-0.1082
EUR/GBP,MDD ≥ p75,178572,0.6892,40.1809,25.14,-0.1095
EUR/GBP,MDD ≥ p90,70559,0.687,39.7986,25.08,-0.1105
EUR/GBP,MDD < p50,450295,0.7022,49.0829,27.33,-0.1026
EUR/GBP,Calmar all,818656,0.699,46.3588,26.55,-0.1044
EUR/GBP,Calmar ≥ p50,413747,0.6989,42.047,25.91,-0.1053
EUR/GBP,Calmar ≥ p75,215709,0.699,40.9818,25.67,-0.1045
EUR/GBP,Calmar ≥ p90,92149,0.699,36.7467,25.13,-0.105
EUR/GBP,Calmar < p50,404909,0.699,50.7647,27.21,-0.1034
EUR/GBP,Ulcer all,818656,0.699,46.3588,26.55,-0.1044
EUR/GBP,Ulcer ≥ p50,385828,0.6893,43.7242,25.73,-0.1091
EUR/GBP,Ulcer ≥ p75,192216,0.6845,44.2769,25.38,-0.111
EUR/GBP,Ulcer ≥ p90,77438,0.6779,43.1656,24.76,-0.1136
EUR/GBP,Ulcer < p50,432828,0.7058,48.7073,27.28,-0.1014
EUR/GBP,ROI* all,818656,0.699,46.3588,26.55,-0.1044
EUR/GBP,ROI* ≥ p50,217731,0.7118,52.0052,28.18,-0.099
EUR/GBP,ROI* ≥ p75,91831,0.716,54.3602,28.53,-0.0975
EUR/GBP,ROI* ≥ p90,32449,0.714,56.5822,28.57,-0.0979
EUR/GBP,ROI* < p50,600925,0.6942,44.3129,25.96,-0.1072
XAU/USD,MDD all,817097,1.0523,1.2176,55.0,0.0182
XAU/USD,MDD ≥ p50,431210,1.0519,1.2156,55.01,0.018
XAU/USD,MDD ≥ p75,222998,1.0498,1.2081,54.89,0.0173
XAU/USD,MDD ≥ p90,92946,1.0471,1.2015,54.66,0.0165
XAU/USD,MDD < p50,385887,1.0528,1.2197,54.98,0.0184
XAU/USD,Calmar all,817097,1.0523,1.2176,55.0,0.0182
XAU/USD,Calmar ≥ p50,424871,1.0527,1.2204,55.09,0.0183
XAU/USD,Calmar ≥ p75,217861,1.051,1.2122,54.98,0.0177
XAU/USD,Calmar ≥ p90,90325,1.0501,1.2049,54.98,0.0175
XAU/USD,Calmar < p50,392226,1.0519,1.2145,54.89,0.0181
XAU/USD,Ulcer all,817097,1.0523,1.2176,55.0,0.0182
XAU/USD,Ulcer ≥ p50,429552,1.0512,1.2169,54.95,0.0177
XAU/USD,Ulcer ≥ p75,222660,1.0502,1.2159,54.92,0.0174
XAU/USD,Ulcer ≥ p90,93557,1.0474,1.2159,54.74,0.0166
XAU/USD,Ulcer < p50,387545,1.0537,1.2183,55.05,0.0187
XAU/USD,ROI* all,817097,1.0523,1.2176,55.0,0.0182
XAU/USD,ROI* ≥ p50,231395,1.0466,1.1974,54.55,0.0163
XAU/USD,ROI* ≥ p75,98116,1.0453,1.1947,54.41,0.0158
XAU/USD,ROI* ≥ p90,34592,1.0442,1.1965,54.19,0.0153
XAU/USD,ROI* < p50,585702,1.0548,1.2255,55.17,0.019
WTI,MDD all,814176,0.9431,1.0998,43.41,-0.0254
WTI,MDD ≥ p50,416112,0.9448,1.093,43.61,-0.0241
WTI,MDD ≥ p75,211800,0.9449,1.0981,43.71,-0.0237
WTI,MDD ≥ p90,86911,0.9451,1.0972,43.96,-0.023
WTI,MDD < p50,398064,0.94,1.1069,43.2,-0.0263
WTI,Calmar all,814176,0.9431,1.0998,43.41,-0.0254
WTI,Calmar ≥ p50,410705,0.9444,1.0998,43.54,-0.0246
WTI,Calmar ≥ p75,207589,0.9447,1.1017,43.66,-0.0243
WTI,Calmar ≥ p90,84653,0.9448,1.0965,43.74,-0.0239
WTI,Calmar < p50,403471,0.9415,1.0997,43.27,-0.0258
WTI,Ulcer all,814176,0.9431,1.0998,43.41,-0.0254
WTI,Ulcer ≥ p50,415682,0.9448,1.101,43.64,-0.0242
WTI,Ulcer ≥ p75,211955,0.9449,1.1014,43.72,-0.0238
WTI,Ulcer ≥ p90,87347,0.945,1.1011,43.82,-0.0234
WTI,Ulcer < p50,398494,0.9402,1.0986,43.17,-0.0263
WTI,ROI* all,814176,0.9431,1.0998,43.41,-0.0254
WTI,ROI* ≥ p50,241361,0.9433,1.0808,43.32,-0.0249
WTI,ROI* ≥ p75,103624,0.9426,1.0742,43.22,-0.0252
WTI,ROI* ≥ p90,36868,0.9413,1.075,43.08,-0.0257
WTI,ROI* < p50,572815,0.9429,1.1078,43.45,-0.0256
