config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
crypto,20,23,38,-8.430841152801008,319.14626271015504,-0.26416856901933394,187.6802959222878,64.60000000000001,64.8,35.2,44.0
crypto,20,24,90,19.304490135174603,402.546361996864,0.4795594236503122,239.5535753817911,98.7,54.1,54.1,22.200000000000003
crypto,20,25,42,-55.59241032723929,732.2314703407299,-0.7592190800181045,444.83870415935354,85.10000000000001,28.3,71.7,23.5
crypto,20,26,30,58.15180824912255,434.78308509657745,1.3374901242122934,219.75253412548417,38.1,2.4000000000000004,2.4000000000000004,0.8
crypto,20,27,60,-31.034191913086566,611.0266085057115,-0.5079024625291172,218.9665167989289,76.5,52.400000000000006,47.6,90.30000000000001
crypto,20,28,15,-5.547507416325406,216.9527072494269,-0.2557012303122601,127.53696371789395,39.5,49.5,50.5,40.0
crypto,20,29,33,-51.93029835896385,716.593409977346,-0.724682890407903,445.56099732351004,49.6,10.5,89.5,7.6000000000000005
crypto,20,30,48,19.45625140010561,294.9896034851663,0.6595571901598891,153.43104876044995,39.2,61.2,61.2,42.400000000000006
forex,10,1,205,-1.555662133932412,16.519621338201205,-0.9417056856714886,8.461948693626168,62.7,44.400000000000006,55.6,80.5
forex,10,2,156,-0.5157372523651652,6.645013226177753,-0.7761267507089975,3.3866166531326334,2.8000000000000003,61.900000000000006,38.1,71.0
forex,10,3,225,-0.1780168792070372,4.9671687481258004,-0.35838701730076333,3.1647676003724357,77.60000000000001,49.900000000000006,50.1,22.700000000000003
forex,10,4,214,-1.7841698172768543,16.936472870826833,-1.053448277504165,9.362246448332451,63.5,99.5,0.5,84.2
forex,10,5,113,-1.2366344984010358,13.257344841193003,-0.9327919830210537,6.25154673169117,1.0,36.9,63.1,87.2
forex,10,6,206,-0.915599980988908,11.153996946698157,-0.8208716439176962,6.949638028061101,46.7,32.2,67.8,25.3
forex,10,7,154,-0.4841637088095898,4.880057245420289,-0.9921271092956037,3.205409704067195,86.4,99.10000000000001,0.9,72.2
forex,10,8,194,-0.6438873762749795,7.252873981930861,-0.8877685974954217,4.395124414396418,1.3,80.0,20.0,52.7
forex,10,9,307,-1.7079527082817858,17.523528127793952,-0.9746625769800393,7.843277445586615,24.5,81.5,18.5,95.60000000000001
forex,10,10,239,-1.8925971514591573,19.66597153153873,-0.9623715504845309,12.04768723203624,9.8,53.2,46.800000000000004,34.5
forex,10,11,173,-0.20713152588856076,2.7227303252243473,-0.7607493256662999,1.612831938832624,91.9,99.60000000000001,0.4,94.10000000000001
forex,10,12,224,-0.3423762673199977,6.478268730444597,-0.5284996371190992,3.57262105092729,60.2,38.400000000000006,61.6,36.4
