Asset,Filter,Same-Window OOS Prof%,Pool Size,Lift (pp)
DOGE,MC-Ulcer p50,36.0637184166596,318087,0.21637302008525694
DOGE,MC-Ulcer p75,36.20642034826058,159306,0.3590749516862388
DOGE,MC-MDD p50 + IS PF>1,38.644701285325205,188357,2.7973558887508645
DOGE,MC-MDD p75 + IS PF>1,38.95617009625308,94958,3.108824699678742
DOGE,MC-MDD p90 + IS PF>1,39.01359386049923,38179,3.1662484639248873
DOGE,MC-Calmar p50 + IS PF>1,38.65908645363654,188737,2.8117410570622
DOGE,MC-Calmar p75 + IS PF>1,38.99095549011182,95417,3.1436100935374824
DOGE,MC-Calmar p90 + IS PF>1,39.036488767692504,38505,3.1891433711181634
DOGE,MC-Ulcer p50 + IS PF>1,38.77287727173374,187577,2.9255318751594004
DOGE,MC-Ulcer p75 + IS PF>1,39.028656849336855,94323,3.1813114527625146
DOGE,MC-ROI* p50,34.93366749772655,229827,-0.9136778988477872
DOGE,MC-ROI* p75,34.51877739488661,102437,-1.328568001687728
BNB,No filter,28.422283953389403,935238,0.0
BNB,IS PF>1,31.324178632347405,475457,2.9018946789580014
BNB,Rob: ENT,31.86015764814703,397848,3.437873694757627
BNB,Rob: FEE,33.486303131237676,326644,5.064019177848273
BNB,Rob: SLI,33.89636817466443,299271,5.474084221275028
BNB,Rob: ENT+IND,32.07439669104556,365070,3.6521127376561537
BNB,Rob: All 4,34.01573151546932,238375,5.593447562079916
BNB,MC-MDD p50,28.289959443420713,472673,-0.13232450996869005
BNB,MC-MDD p75,28.29974321721796,236776,-0.12254073617144456
BNB,MC-MDD p90,28.14122973101617,94541,-0.28105422237323197
BNB,MC-Calmar p50,28.291884256484888,467240,-0.13039969690451514
BNB,MC-Calmar p75,28.394156851381524,234668,-0.028127102007879046
BNB,MC-Calmar p90,28.26213172034498,94731,-0.16015223304442472
BNB,MC-Ulcer p50,28.326435581272925,467302,-0.09584837211647823
BNB,MC-Ulcer p75,28.342889957402313,233346,-0.07939399598708974
BNB,MC-MDD p50 + IS PF>1,31.04576525508503,239920,2.6234813016956267
BNB,MC-MDD p75 + IS PF>1,31.106494280464187,120814,2.6842103270747835
BNB,MC-MDD p90 + IS PF>1,30.80527026474078,48878,2.3829863113513774
BNB,MC-Calmar p50 + IS PF>1,31.06281760190291,240474,2.6405336485135074
BNB,MC-Calmar p75 + IS PF>1,31.148743304491138,121350,2.7264593511017345
BNB,MC-Calmar p90 + IS PF>1,30.88724734150499,49276,2.4649633881155886
BNB,MC-Ulcer p50 + IS PF>1,31.11540363587179,236587,2.6931196824823864
BNB,MC-Ulcer p75 + IS PF>1,31.12338237153817,118615,2.701098418148767
BNB,MC-ROI* p50,27.0159513002871,335772,-1.4063326531023037
BNB,MC-ROI* p75,26.758012231393913,149615,-1.6642717219954903
SOL,No filter,39.33972439140679,216031,0.0
SOL,IS PF>1,41.27102959219748,144261,1.931305200790689
SOL,Rob: ENT,42.24339743700904,115334,2.903673045602247
SOL,Rob: FEE,42.943143233317166,115448,3.6034188419103756
SOL,Rob: SLI,43.09601792794346,110219,3.756293536536667
SOL,Rob: ENT+IND,42.58615209988649,110125,3.2464277084797004
SOL,Rob: All 4,44.24048648987524,79755,4.900762098468448
SOL,MC-MDD p50,39.33845842605705,108746,-0.0012659653497379963
SOL,MC-MDD p75,39.3368964580125,55195,-0.002827933394293325
SOL,MC-MDD p90,39.05132331902718,22368,-0.28840107237960666
SOL,MC-Calmar p50,39.31151488616462,109632,-0.0282095052421667
SOL,MC-Calmar p75,39.354677070097885,55879,0.0149526786910954
SOL,MC-Calmar p90,39.0331479616412,22837,-0.30657642976559174
SOL,MC-Ulcer p50,39.38077230746855,110008,0.04104791606175695
SOL,MC-Ulcer p75,39.63528761653505,56099,0.2955632251282623
SOL,MC-MDD p50 + IS PF>1,41.18861988784024,73110,1.8488954964334496
SOL,MC-MDD p75 + IS PF>1,41.192944661370674,37135,1.8532202699638844
SOL,MC-MDD p90 + IS PF>1,40.82529118136439,15025,1.485566789957602
SOL,MC-Calmar p50 + IS PF>1,41.24930269262691,73497,1.9095783012201224
SOL,MC-Calmar p75 + IS PF>1,41.29035703794697,37447,1.9506326465401784
SOL,MC-Calmar p90 + IS PF>1,40.90581372484761,15257,1.5660893334408215
SOL,MC-Ulcer p50 + IS PF>1,41.15482744729421,74470,1.8151030558874197
SOL,MC-Ulcer p75 + IS PF>1,41.44347188007757,38158,2.103747488670777
SOL,MC-ROI* p50,38.364998008914924,77847,-0.9747263824918662
SOL,MC-ROI* p75,38.5497177594442,34545,-0.7900066319625907
EUR/USD,No filter,11.795409263220055,819607,0.0
EUR/USD,IS PF>1,21.388157380126717,76706,9.592748116906662
EUR/USD,Rob: ENT,23.27676909380311,37067,11.481359830583056
EUR/USD,Rob: FEE,21.41344972687593,76522,9.618040463655873
EUR/USD,Rob: SLI,21.388157380126717,76706,9.592748116906662
EUR/USD,Rob: ENT+IND,23.084416572802823,32849,11.289007309582768
EUR/USD,Rob: All 4,23.702587977543473,21909,11.907178714323418
EUR/USD,MC-MDD p50,11.352248536282222,383783,-0.44316072693783326
EUR/USD,MC-MDD p75,11.157630532676672,189646,-0.6377787305433831
EUR/USD,MC-MDD p90,11.02893134359564,76526,-0.766477919624414
EUR/USD,MC-Calmar p50,11.201278888056612,417863,-0.5941303751634432
EUR/USD,MC-Calmar p75,10.87582047840556,217556,-0.9195887848144952
EUR/USD,MC-Calmar p90,10.427692440084334,92964,-1.367716823135721
EUR/USD,MC-Ulcer p50,11.388227629237978,399070,-0.4071816339820771
EUR/USD,MC-Ulcer p75,10.907958019354712,205428,-0.8874512438653426
EUR/USD,MC-MDD p50 + IS PF>1,17.274088866699948,28042,5.478679603479893
EUR/USD,MC-MDD p75 + IS PF>1,15.892030027152213,12522,4.096620763932158
EUR/USD,MC-MDD p90 + IS PF>1,16.777996070726918,5090,4.982586807506863
EUR/USD,MC-Calmar p50 + IS PF>1,18.647612408504706,31559,6.852203145284651
EUR/USD,MC-Calmar p75 + IS PF>1,17.929598280263335,14886,6.13418901704328
EUR/USD,MC-Calmar p90 + IS PF>1,17.638791286015458,5692,5.843382022795403
EUR/USD,MC-Ulcer p50 + IS PF>1,19.406101380350307,34484,7.610692117130252
EUR/USD,MC-Ulcer p75 + IS PF>1,19.221119854031247,17538,7.4257105908111924
EUR/USD,MC-ROI* p50,12.878775941129197,190383,1.083366677909142
EUR/USD,MC-ROI* p75,13.093225187200447,78659,1.2978159239803926
USD/JPY,No filter,9.212189750022223,809992,0.0
USD/JPY,IS PF>1,20.92042807865798,67838,11.708238328635758
USD/JPY,Rob: ENT,23.230232420604413,33818,14.01804267058219
USD/JPY,Rob: FEE,20.941704698184825,67707,11.729514948162603
USD/JPY,Rob: SLI,20.92042807865798,67838,11.708238328635758
USD/JPY,Rob: ENT+IND,22.882900798780287,30171,13.670711048758065
USD/JPY,Rob: All 4,23.988201731057494,20681,14.776011981035271
USD/JPY,MC-MDD p50,8.736925444658997,382709,-0.4752643053632255
USD/JPY,MC-MDD p75,8.593240313992887,190068,-0.6189494360293359
USD/JPY,MC-MDD p90,8.60008870105137,76662,-0.6121010489708532
USD/JPY,MC-Calmar p50,8.636424920636866,407935,-0.5757648293853563
USD/JPY,MC-Calmar p75,8.367074716666982,211412,-0.8451150333552402
USD/JPY,MC-Calmar p90,7.838860449588249,89860,-1.3733293004339737
USD/JPY,MC-Ulcer p50,9.026947819128482,384892,-0.1852419308937403
USD/JPY,MC-Ulcer p75,8.76592653971469,195507,-0.44626321030753324
USD/JPY,MC-MDD p50 + IS PF>1,17.14699302539808,22797,7.934803275375856
USD/JPY,MC-MDD p75 + IS PF>1,16.190283809716192,9901,6.978094059693969
USD/JPY,MC-MDD p90 + IS PF>1,16.064160881015084,4177,6.851971130992862
USD/JPY,MC-Calmar p50 + IS PF>1,18.499962329541173,26546,9.28777257951895
USD/JPY,MC-Calmar p75 + IS PF>1,17.754970098593827,12374,8.542780348571604
USD/JPY,MC-Calmar p90 + IS PF>1,16.694879390605163,4726,7.48268964058294
USD/JPY,MC-Ulcer p50 + IS PF>1,19.156222176563247,29202,9.944032426541025
USD/JPY,MC-Ulcer p75 + IS PF>1,18.745317076493425,14681,9.533127326471202
USD/JPY,MC-ROI* p50,10.443546611475627,181672,1.2313568614534045
USD/JPY,MC-ROI* p75,10.75871148007845,74442,1.5465217300562273
EUR/GBP,No filter,26.551323144275496,818656,0.0
EUR/GBP,IS PF>1,35.34840701935843,201101,8.797083875082937
EUR/GBP,Rob: ENT,36.39952684834284,132727,9.848203704067341
EUR/GBP,Rob: FEE,35.37562912453798,200477,8.824305980262483
EUR/GBP,Rob: SLI,35.34840701935843,201101,8.797083875082937
EUR/GBP,Rob: ENT+IND,36.411083697096224,126456,9.859760552820727
EUR/GBP,Rob: All 4,36.67895208686124,100390,10.12762894258574
EUR/GBP,MC-MDD p50,25.605316523736228,368361,-0.9460066205392685
EUR/GBP,MC-MDD p75,25.142799543041463,178572,-1.4085236012340339
EUR/GBP,MC-MDD p90,25.075468756643378,70559,-1.4758543876321184
EUR/GBP,MC-Calmar p50,25.909311729148488,413747,-0.6420114151270084
EUR/GBP,MC-Calmar p75,25.67115882971967,215709,-0.8801643145558273
EUR/GBP,MC-Calmar p90,25.134293372689882,92149,-1.4170297715856144
EUR/GBP,MC-Ulcer p50,25.7285629866158,385828,-0.8227601576596975
EUR/GBP,MC-Ulcer p75,25.379781079618763,192216,-1.1715420646567338
EUR/GBP,MC-MDD p50 + IS PF>1,33.38246409674981,79380,6.8311409524743105
