config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
crypto,10,15,247,-25.69708673030582,1319.1817926684685,-0.1947956443389445,701.9340346064644,43.5,9.200000000000001,90.80000000000001,10.0
crypto,10,16,156,-51.40117083827563,788.6675956373138,-0.6517469606030778,448.7943044448637,0.5,74.2,25.8,61.2
crypto,10,17,160,-19.059108454846996,730.6909606808686,-0.26083678983913305,285.33584643270325,9.3,58.5,41.5,84.4
crypto,10,18,157,-58.680343485354015,1045.0572771439934,-0.5615036110338355,451.7478991884908,17.3,35.1,64.9,70.5
crypto,10,19,150,40.847711169304404,257.47979036032643,1.5864433908440214,108.88866664780144,32.300000000000004,100.0,100.0,99.80000000000001
crypto,10,20,173,25.51701314002536,842.7122859599718,0.30279626350715616,393.01373490467194,3.4000000000000004,11.9,11.9,14.600000000000001
crypto,10,21,178,-303.47343676672165,3122.99484087438,-0.9717385145655726,1991.3255717761283,98.4,46.800000000000004,53.2,14.5
crypto,10,22,180,-111.66548651280446,1598.3688856755998,-0.6986214979128902,913.2689140654114,80.80000000000001,21.700000000000003,78.30000000000001,26.1
crypto,10,23,169,-106.56543391198083,1235.7606530202336,-0.8623468764079187,538.4557023111646,0.30000000000000004,87.5,12.5,96.7
crypto,10,24,171,-68.8442272058851,833.0457124509496,-0.8264159598557289,462.33113508957223,66.9,93.7,6.300000000000001,84.4
crypto,10,25,199,73.52769809699161,317.98581161597144,2.3122949330138773,152.4775910178516,34.5,96.0,96.0,81.0
crypto,10,26,221,-279.9435776674086,3280.4694811308455,-0.8533643714036512,2016.8917376028912,50.2,0.9,99.10000000000001,3.1
crypto,10,27,201,21.143359642932477,495.8243871074311,0.42642839264683663,330.58717476241577,3.7,75.5,75.5,25.200000000000003
crypto,10,28,185,-142.40452256245987,1568.0697877733521,-0.9081516886099392,737.8896350361894,68.0,64.2,35.800000000000004,89.9
crypto,10,29,197,-121.75961361721548,1546.2948414898508,-0.7874281821951913,848.3316008222945,0.9,25.6,74.4,42.900000000000006
crypto,10,30,170,-85.21976206385553,927.4497897074529,-0.9188611934532495,572.3322709311709,8.200000000000001,87.0,13.0,62.300000000000004
crypto,15,1,300,-344.4857920371995,3807.37158087969,-0.9047863722237647,2741.0943033517574,23.400000000000002,21.400000000000002,78.60000000000001,1.2000000000000002
crypto,15,2,259,-71.89589529311131,1288.9295579581362,-0.5577953802766812,604.7009521085974,46.800000000000004,56.900000000000006,43.1,73.5
crypto,15,3,331,-12.243796125107053,1253.3179359879923,-0.09769106284635791,363.55888145773974,21.700000000000003,41.300000000000004,58.7,93.7
crypto,15,4,241,211.75970316832516,721.0657118802038,2.9367601271200985,224.73285858935685,9.9,39.7,39.7,60.5
crypto,15,5,228,80.26288078085695,895.5803597271257,0.8962108191532051,327.1662911518631,59.800000000000004,41.1,41.1,59.0
crypto,15,6,237,112.25247199366322,1050.7379442584756,1.068320341975294,464.0421252441428,76.5,14.8,14.8,12.700000000000001
crypto,15,7,291,57.36093377588914,1292.703918219088,0.4437283198995269,576.3403493057302,44.900000000000006,19.200000000000003,19.200000000000003,20.200000000000003
crypto,15,8,248,-134.95024906519143,1664.8559119488502,-0.8105821536665062,785.925076950492,22.6,41.400000000000006,58.6,79.2
crypto,15,9,265,-237.15246455324223,2514.774439377588,-0.9430367226570745,1589.0118325498438,6.2,65.4,34.6,30.700000000000003
crypto,15,10,355,157.50185843533805,842.4275662247064,1.8696190004937057,275.2202549466389,49.5,27.0,27.0,49.5
crypto,15,11,233,-31.273762781601576,1136.7559657771553,-0.27511412935687507,547.1429664302683,93.30000000000001,25.8,74.2,36.800000000000004
crypto,15,12,230,-88.74755289577985,964.1895252215592,-0.9204368080579046,469.8474281929244,11.3,97.2,2.8000000000000003,96.10000000000001
crypto,15,13,239,-214.21246697027968,2286.6100598354906,-0.9368124051098207,1346.1245110880702,48.7,61.1,38.900000000000006,50.2
crypto,15,14,254,-112.54260342353477,1715.1301228150883,-0.6561753066223082,954.1955298757415,5.4,23.8,76.2,30.3
crypto,15,15,333,-37.275523752114864,1319.1817926684685,-0.2825654808099887,831.8303984404373,83.9,30.8,69.2,12.200000000000001
crypto,15,16,219,-86.51381923057657,1010.5529730391539,-0.8561037524870512,579.1315097879257,44.5,89.5,10.5,77.80000000000001
crypto,15,17,267,14.410079911897805,742.4136757684385,0.19409771643797633,351.2076057569374,19.200000000000003,64.4,64.4,59.400000000000006
crypto,15,18,226,-47.43863959760928,1075.3762332182505,-0.44113528021389214,529.954183652001,20.900000000000002,50.5,49.5,58.0
